ticker,name,market,category,lag0,lag1,lag2,lag3,peak_lag,peak_corr
601138.SH,工业富联,A股,AI服务器,0.212,0.036,-0.027,-0.02,0,0.212
300502.SZ,新易盛,A股,光模块,0.207,-0.023,-0.023,0.021,0,0.207
300308.SZ,中际旭创,A股,光模块,0.197,-0.014,-0.001,-0.014,0,0.197
300476.SZ,胜宏科技,A股,PCB材料,0.189,0.036,-0.015,0.008,0,0.189
002463.SZ,沪电股份,A股,PCB材料,0.168,0.006,-0.041,0.03,0,0.168
300394.SZ,天孚通信,A股,光模块,0.164,-0.008,-0.003,-0.005,0,0.164
600183.SH,生益科技,A股,PCB材料,0.139,0.055,0.002,-0.023,0,0.139
002837.SZ,英维克,A股,液冷,0.115,0.043,0.001,0.023,0,0.115
300499.SZ,高澜股份,A股,液冷,0.101,-0.014,-0.033,-0.01,0,0.101
300870.SZ,欧陆通,A股,HVDC电源,0.097,-0.047,0.026,-0.007,0,0.097
002364.SZ,中恒电气,A股,HVDC电源,0.024,0.056,0.046,0.042,1,0.056
300474.SZ,景嘉微,A股,国产算力,0.0,-0.018,0.003,0.056,3,0.056
002475.SZ,立讯精密,A股,AI服务器,0.051,0.048,-0.035,-0.024,0,0.051
000938.SZ,紫光股份,A股,国产算力,-0.006,-0.004,-0.033,0.042,3,0.042
000977.SZ,浪潮信息,A股,国产算力,0.014,0.016,-0.03,0.039,3,0.039
002179.SZ,中航光电,A股,液冷,-0.056,-0.051,-0.034,-0.027,0,-0.056
688041.SH,海光信息,A股,国产算力,-0.067,0.048,-0.043,0.022,0,-0.067
688256.SH,寒武纪,A股,国产算力,0.013,0.053,-0.07,0.036,2,-0.07
300395.SZ,菲利华,A股,PCB材料,0.015,-0.081,0.022,-0.023,1,-0.081
002851.SZ,麦格米特,A股,HVDC电源,0.083,0.013,0.006,-0.12,3,-0.12
