ticker,name,category,NVDA,工业富联,中际旭创,寒武纪,海光信息
000660.KS,SK 海力士,海外参照,,,,,
000938.SZ,紫光股份,国产算力,0.042,0.364,0.235,0.304,0.343
000977.SZ,浪潮信息,国产算力,0.039,0.397,0.284,0.315,0.386
002179.SZ,中航光电,液冷,-0.056,-0.11,-0.124,0.095,0.084
002364.SZ,中恒电气,HVDC电源,0.056,0.19,0.216,0.151,0.148
002463.SZ,沪电股份,PCB材料,0.168,0.627,0.604,0.237,0.214
002475.SZ,立讯精密,AI服务器,0.051,0.389,0.248,0.076,0.111
002837.SZ,英维克,液冷,0.115,0.432,0.403,0.288,0.229
002851.SZ,麦格米特,HVDC电源,-0.12,0.345,0.323,0.225,0.199
2308.TW,台达电,海外参照,,,,,
300308.SZ,中际旭创,光模块,0.197,0.555,,0.243,0.189
300394.SZ,天孚通信,光模块,0.164,0.465,0.645,0.163,0.134
300395.SZ,菲利华,PCB材料,-0.081,0.241,0.217,0.198,0.193
300474.SZ,景嘉微,国产算力,0.056,0.168,0.197,0.445,0.455
300476.SZ,胜宏科技,PCB材料,0.189,0.575,0.569,0.3,0.232
300499.SZ,高澜股份,液冷,0.101,0.303,0.304,0.274,0.254
300502.SZ,新易盛,光模块,0.207,0.546,0.768,0.245,0.168
300870.SZ,欧陆通,HVDC电源,0.097,0.337,0.304,0.294,0.269
600183.SH,生益科技,PCB材料,0.139,0.523,0.437,0.144,0.18
601138.SH,工业富联,AI服务器,0.212,,0.555,0.188,0.178
688041.SH,海光信息,国产算力,-0.067,0.178,0.189,0.62,
688256.SH,寒武纪,国产算力,-0.07,0.188,0.243,,0.62
NVDA,NVIDIA,海外参照,,,,,
TSM,台积电 ADR,海外参照,,,,,
VRT,Vertiv,海外参照,,,,,
