ticker,name,market,category,lag0,lag1,lag2,lag3,peak_lag,peak_corr
300502.SZ,新易盛,A股,光模块,0.768,0.043,0.04,-0.055,0,0.768
300394.SZ,天孚通信,A股,光模块,0.645,0.041,0.064,-0.067,0,0.645
002463.SZ,沪电股份,A股,PCB材料,0.604,0.033,0.029,-0.055,0,0.604
300476.SZ,胜宏科技,A股,PCB材料,0.569,0.0,-0.051,-0.052,0,0.569
601138.SH,工业富联,A股,AI服务器,0.555,0.044,0.032,-0.047,0,0.555
600183.SH,生益科技,A股,PCB材料,0.437,-0.03,0.081,-0.065,0,0.437
002837.SZ,英维克,A股,液冷,0.403,0.001,0.01,-0.017,0,0.403
002851.SZ,麦格米特,A股,HVDC电源,0.323,-0.043,0.05,-0.075,0,0.323
300499.SZ,高澜股份,A股,液冷,0.304,-0.098,-0.005,-0.06,0,0.304
300870.SZ,欧陆通,A股,HVDC电源,0.304,-0.027,0.02,-0.029,0,0.304
000977.SZ,浪潮信息,A股,国产算力,0.284,-0.034,-0.016,-0.037,0,0.284
002475.SZ,立讯精密,A股,AI服务器,0.248,0.101,0.081,0.043,0,0.248
688256.SH,寒武纪,A股,国产算力,0.243,0.113,-0.063,-0.102,0,0.243
000938.SZ,紫光股份,A股,国产算力,0.235,-0.043,0.036,-0.047,0,0.235
300395.SZ,菲利华,A股,PCB材料,0.217,-0.083,0.009,-0.075,0,0.217
002364.SZ,中恒电气,A股,HVDC电源,0.216,-0.014,0.094,-0.079,0,0.216
300474.SZ,景嘉微,A股,国产算力,0.197,-0.013,-0.088,-0.079,0,0.197
688041.SH,海光信息,A股,国产算力,0.189,0.03,0.011,-0.047,0,0.189
002179.SZ,中航光电,A股,液冷,-0.04,-0.067,-0.124,-0.084,2,-0.124
