ticker,name,market,category,lag0,lag1,lag2,lag3,peak_lag,peak_corr
688041.SH,海光信息,A股,国产算力,0.62,0.105,0.005,-0.024,0,0.62
300474.SZ,景嘉微,A股,国产算力,0.445,0.006,-0.044,-0.039,0,0.445
000977.SZ,浪潮信息,A股,国产算力,0.315,-0.02,-0.03,-0.058,0,0.315
000938.SZ,紫光股份,A股,国产算力,0.304,-0.03,0.009,-0.11,0,0.304
300476.SZ,胜宏科技,A股,PCB材料,0.3,0.073,-0.076,0.029,0,0.3
300870.SZ,欧陆通,A股,HVDC电源,0.294,0.09,-0.002,-0.04,0,0.294
002837.SZ,英维克,A股,液冷,0.288,0.105,-0.017,0.008,0,0.288
300499.SZ,高澜股份,A股,液冷,0.274,0.056,-0.034,-0.038,0,0.274
300502.SZ,新易盛,A股,光模块,0.245,0.07,-0.025,-0.012,0,0.245
300308.SZ,中际旭创,A股,光模块,0.243,0.077,-0.007,0.004,0,0.243
002463.SZ,沪电股份,A股,PCB材料,0.237,0.077,-0.044,-0.013,0,0.237
002851.SZ,麦格米特,A股,HVDC电源,0.225,0.093,0.091,0.001,0,0.225
300395.SZ,菲利华,A股,PCB材料,0.198,0.055,-0.042,0.044,0,0.198
601138.SH,工业富联,A股,AI服务器,0.188,0.079,-0.051,0.023,0,0.188
300394.SZ,天孚通信,A股,光模块,0.163,0.106,0.048,-0.032,0,0.163
002364.SZ,中恒电气,A股,HVDC电源,0.151,0.042,0.081,0.024,0,0.151
600183.SH,生益科技,A股,PCB材料,0.144,0.078,-0.067,0.016,0,0.144
002179.SZ,中航光电,A股,液冷,0.095,-0.006,0.033,0.04,0,0.095
002475.SZ,立讯精密,A股,AI服务器,0.076,0.042,-0.008,0.001,0,0.076
