ticker,name,market,category,lag0,lag1,lag2,lag3,peak_lag,peak_corr
002463.SZ,沪电股份,A股,PCB材料,0.627,0.016,-0.113,-0.032,0,0.627
300476.SZ,胜宏科技,A股,PCB材料,0.575,0.015,-0.124,-0.083,0,0.575
300308.SZ,中际旭创,A股,光模块,0.555,0.064,-0.08,-0.002,0,0.555
300502.SZ,新易盛,A股,光模块,0.546,0.05,-0.134,-0.011,0,0.546
600183.SH,生益科技,A股,PCB材料,0.523,0.046,-0.087,-0.005,0,0.523
300394.SZ,天孚通信,A股,光模块,0.465,0.09,-0.041,-0.078,0,0.465
002837.SZ,英维克,A股,液冷,0.432,0.047,-0.083,0.012,0,0.432
000977.SZ,浪潮信息,A股,国产算力,0.397,-0.015,-0.049,-0.008,0,0.397
002475.SZ,立讯精密,A股,AI服务器,0.389,0.047,0.018,-0.035,0,0.389
000938.SZ,紫光股份,A股,国产算力,0.364,-0.006,-0.029,-0.018,0,0.364
002851.SZ,麦格米特,A股,HVDC电源,0.345,0.002,-0.057,-0.042,0,0.345
300870.SZ,欧陆通,A股,HVDC电源,0.337,-0.044,-0.034,0.003,0,0.337
300499.SZ,高澜股份,A股,液冷,0.303,-0.045,-0.036,-0.014,0,0.303
300395.SZ,菲利华,A股,PCB材料,0.241,-0.047,-0.137,-0.009,0,0.241
002364.SZ,中恒电气,A股,HVDC电源,0.19,-0.009,0.009,0.009,0,0.19
688256.SH,寒武纪,A股,国产算力,0.188,0.03,-0.072,0.013,0,0.188
688041.SH,海光信息,A股,国产算力,0.178,0.011,-0.022,0.049,0,0.178
300474.SZ,景嘉微,A股,国产算力,0.168,-0.033,-0.025,0.01,0,0.168
002179.SZ,中航光电,A股,液冷,-0.024,-0.046,0.017,-0.11,3,-0.11
