ticker,name,market,category,lag0,lag1,lag2,lag3,peak_lag,peak_corr
688256.SH,寒武纪,A股,国产算力,0.62,0.038,-0.09,-0.037,0,0.62
300474.SZ,景嘉微,A股,国产算力,0.455,0.024,-0.03,-0.067,0,0.455
000977.SZ,浪潮信息,A股,国产算力,0.386,-0.067,0.023,-0.064,0,0.386
000938.SZ,紫光股份,A股,国产算力,0.343,-0.069,0.081,-0.109,0,0.343
300870.SZ,欧陆通,A股,HVDC电源,0.269,0.009,-0.055,-0.11,0,0.269
300499.SZ,高澜股份,A股,液冷,0.254,0.006,-0.036,-0.081,0,0.254
300476.SZ,胜宏科技,A股,PCB材料,0.232,0.022,-0.062,0.008,0,0.232
002837.SZ,英维克,A股,液冷,0.229,0.066,-0.019,-0.005,0,0.229
002463.SZ,沪电股份,A股,PCB材料,0.214,0.004,-0.031,-0.001,0,0.214
002851.SZ,麦格米特,A股,HVDC电源,0.199,0.022,0.071,0.012,0,0.199
300395.SZ,菲利华,A股,PCB材料,0.193,-0.018,-0.052,-0.005,0,0.193
300308.SZ,中际旭创,A股,光模块,0.189,0.014,0.018,0.003,0,0.189
600183.SH,生益科技,A股,PCB材料,0.18,0.012,-0.018,-0.027,0,0.18
601138.SH,工业富联,A股,AI服务器,0.178,0.028,-0.013,-0.008,0,0.178
300502.SZ,新易盛,A股,光模块,0.168,-0.009,-0.025,-0.015,0,0.168
002364.SZ,中恒电气,A股,HVDC电源,0.148,0.004,0.065,0.017,0,0.148
300394.SZ,天孚通信,A股,光模块,0.134,0.034,0.045,-0.036,0,0.134
002475.SZ,立讯精密,A股,AI服务器,0.111,0.057,0.001,0.004,0,0.111
002179.SZ,中航光电,A股,液冷,0.084,0.019,0.026,0.058,0,0.084
