ticker,name,category,up_lag0,down_lag0,up_lag1,down_lag1,up_lag2,down_lag2,up_lag3,down_lag3
300502.SZ,新易盛,光模块,1.35,-0.89,0.22,0.14,0.19,0.16,0.45,0.15
300476.SZ,胜宏科技,PCB材料,1.35,-1.3,0.91,0.4,0.89,0.68,0.98,1.08
300308.SZ,中际旭创,光模块,1.21,-1.01,0.01,-0.1,0.38,0.27,0.34,0.37
601138.SH,工业富联,AI服务器,1.08,-0.93,0.04,-0.37,-0.17,0.11,0.13,0.26
600183.SH,生益科技,PCB材料,1.01,-0.23,0.57,-0.04,0.54,0.37,0.17,0.24
300394.SZ,天孚通信,光模块,0.87,-0.87,-0.3,-0.4,0.21,0.32,0.26,0.33
002463.SZ,沪电股份,PCB材料,0.69,-0.92,0.23,-0.02,-0.03,0.18,0.29,0.1
688256.SH,寒武纪,国产算力,0.46,-0.29,0.81,0.09,0.61,1.08,0.96,0.28
002364.SZ,中恒电气,HVDC电源,0.38,0.14,0.54,-0.61,1.12,0.16,0.84,-0.24
002851.SZ,麦格米特,HVDC电源,0.37,-0.64,0.33,0.2,0.93,0.71,-0.31,1.16
000977.SZ,浪潮信息,国产算力,0.36,-0.18,-0.16,-0.14,0.1,0.13,0.28,0.08
300870.SZ,欧陆通,HVDC电源,0.3,-0.75,0.02,-0.0,1.3,0.73,0.83,0.39
002837.SZ,英维克,液冷,0.29,-0.76,0.57,-0.41,0.6,0.35,0.34,0.07
002475.SZ,立讯精密,AI服务器,0.28,-0.19,0.26,-0.1,-0.08,0.04,0.29,0.29
300395.SZ,菲利华,PCB材料,0.26,0.4,-0.3,0.42,0.43,0.45,0.32,0.42
300499.SZ,高澜股份,液冷,0.15,-1.06,0.35,-0.13,0.3,0.86,0.13,0.57
688041.SH,海光信息,国产算力,0.05,0.43,0.4,-0.33,0.16,0.61,0.38,0.26
000938.SZ,紫光股份,国产算力,-0.04,-0.3,-0.23,-0.17,-0.1,0.11,0.17,-0.14
300474.SZ,景嘉微,国产算力,-0.09,-0.48,-0.29,-0.12,0.27,0.3,0.07,-0.37
002179.SZ,中航光电,液冷,-0.32,0.2,-0.12,0.17,0.12,0.18,0.18,0.25
