ticker,name,market,category,tier,lag0,n0,lag1,n1,lag2,n2,lag3,n3,peak_lag,peak_corr
601138.SH,工业富联,A股,AI服务器,S,0.212,481,0.036,480,-0.027,480,-0.02,479,0,0.212
300502.SZ,新易盛,A股,光模块,S,0.207,481,-0.023,480,-0.023,480,0.021,479,0,0.207
300308.SZ,中际旭创,A股,光模块,S,0.197,481,-0.014,480,-0.001,480,-0.014,479,0,0.197
300476.SZ,胜宏科技,A股,PCB材料,S,0.189,481,0.036,480,-0.015,480,0.008,479,0,0.189
002463.SZ,沪电股份,A股,PCB材料,S,0.168,481,0.006,480,-0.041,480,0.03,479,0,0.168
300394.SZ,天孚通信,A股,光模块,S,0.164,481,-0.008,480,-0.003,480,-0.005,479,0,0.164
600183.SH,生益科技,A股,PCB材料,A,0.139,481,0.055,480,0.002,480,-0.023,479,0,0.139
002837.SZ,英维克,A股,液冷,S,0.115,481,0.043,480,0.001,480,0.023,479,0,0.115
300499.SZ,高澜股份,A股,液冷,A,0.101,481,-0.014,480,-0.033,480,-0.01,479,0,0.101
300870.SZ,欧陆通,A股,HVDC电源,A,0.097,481,-0.047,480,0.026,480,-0.007,479,0,0.097
002364.SZ,中恒电气,A股,HVDC电源,A,0.024,481,0.056,480,0.046,480,0.042,479,1,0.056
300474.SZ,景嘉微,A股,国产算力,A,0.0,481,-0.018,480,0.003,480,0.056,479,3,0.056
002475.SZ,立讯精密,A股,AI服务器,A,0.051,481,0.048,480,-0.035,480,-0.024,479,0,0.051
000938.SZ,紫光股份,A股,国产算力,A,-0.006,481,-0.004,480,-0.033,480,0.042,479,3,0.042
000977.SZ,浪潮信息,A股,国产算力,S,0.014,481,0.016,480,-0.03,480,0.039,479,3,0.039
002179.SZ,中航光电,A股,液冷,A,-0.056,481,-0.051,480,-0.034,480,-0.027,479,0,-0.056
688041.SH,海光信息,A股,国产算力,S,-0.067,481,0.048,480,-0.043,480,0.022,479,0,-0.067
688256.SH,寒武纪,A股,国产算力,S,0.013,481,0.053,480,-0.07,480,0.036,479,2,-0.07
300395.SZ,菲利华,A股,PCB材料,A,0.015,481,-0.081,480,0.022,480,-0.023,479,1,-0.081
002851.SZ,麦格米特,A股,HVDC电源,S,0.083,481,0.013,480,0.006,480,-0.12,479,3,-0.12
